timestamp_utc,timestamp_local,latitude,longitude,altitude_m,ellipsoidal_altitude_m,horizontal_accuracy_m,vertical_accuracy_m,speed_mps,speed_accuracy_mps,course_deg,course_accuracy_deg,timezone,source
2026-09-18T08:19:32.000Z,2026-09-18T16:19:32.000+08:00,47.9298274,106.9285461,1309.63,1272.60,4.59,3.57,2.340,0.520,94.57,13.69,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:36.000Z,2026-09-18T16:19:36.000+08:00,47.9298305,106.9287119,1309.77,1272.74,4.59,3.57,2.910,0.420,91.41,9.35,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:39.000Z,2026-09-18T16:19:39.000+08:00,47.9298169,106.9289016,1310.07,1273.04,5.20,2.61,4.626,2.362,92.21,25.18,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:42.000Z,2026-09-18T16:19:42.000+08:00,47.9298142,106.9291327,1309.93,1272.90,7.08,1.40,5.499,2.904,92.36,28.16,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:45.000Z,2026-09-18T16:19:45.000+08:00,47.9297736,106.9293399,1309.83,1272.80,9.13,1.44,5.646,3.086,99.29,26.49,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:48.000Z,2026-09-18T16:19:48.000+08:00,47.9297508,106.9297084,1309.82,1272.79,9.14,1.41,7.630,2.748,97.22,18.78,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:51.000Z,2026-09-18T16:19:51.000+08:00,47.9296890,106.9300357,1309.81,1272.78,10.93,1.44,8.255,3.531,104.27,21.34,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:54.000Z,2026-09-18T16:19:54.000+08:00,47.9296519,106.9304148,1309.81,1272.79,8.71,1.41,8.767,2.541,100.24,14.34,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:56.000Z,2026-09-18T16:19:56.000+08:00,47.9296113,106.9306077,1309.94,1272.92,7.12,1.54,8.948,2.434,101.89,12.69,Asia/Ulaanbaatar,continuous
2026-09-18T08:19:58.000Z,2026-09-18T16:19:58.000+08:00,47.9295883,106.9309278,1309.97,1272.95,6.50,2.02,10.133,2.497,99.51,11.52,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:01.000Z,2026-09-18T16:20:01.000+08:00,47.9295334,106.9313839,1309.33,1272.30,5.95,2.42,11.253,2.243,101.12,9.56,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:04.000Z,2026-09-18T16:20:04.000+08:00,47.9294639,106.9318708,1308.27,1271.25,5.16,2.69,11.376,1.891,101.41,8.18,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:07.000Z,2026-09-18T16:20:07.000+08:00,47.9294256,106.9322917,1308.73,1271.70,4.99,2.99,10.815,1.877,99.73,8.38,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:09.000Z,2026-09-18T16:20:09.000+08:00,47.9293837,106.9325798,1309.35,1272.32,4.96,3.04,10.767,1.711,100.73,7.83,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:12.000Z,2026-09-18T16:20:12.000+08:00,47.9293435,106.9330074,1309.75,1272.73,5.05,2.89,10.164,2.020,96.18,10.35,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:14.000Z,2026-09-18T16:20:14.000+08:00,47.9293024,106.9332570,1309.97,1272.95,5.31,2.38,9.372,2.166,100.91,11.89,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:17.000Z,2026-09-18T16:20:17.000+08:00,47.9292768,106.9335777,1311.15,1274.12,5.13,2.74,8.121,1.853,99.06,11.39,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:20.000Z,2026-09-18T16:20:20.000+08:00,47.9292352,106.9338532,1311.61,1274.58,5.06,2.87,6.680,1.864,101.74,14.35,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:24.000Z,2026-09-18T16:20:24.000+08:00,47.9291880,106.9341019,1312.02,1274.99,5.23,2.54,4.857,2.569,105.22,25.96,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:26.000Z,2026-09-18T16:20:26.000+08:00,47.9291751,106.9341995,1312.51,1275.48,6.02,1.09,4.024,2.661,105.58,34.20,Asia/Ulaanbaatar,continuous
2026-09-18T08:20:29.000Z,2026-09-18T16:20:29.000+08:00,47.9291586,106.9342689,1312.93,1275.90,10.05,1.09,2.120,3.286,112.83,84.80,Asia/Ulaanbaatar,continuous
